step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
461,0.73926,0.85106,,
462,0.47214,0.86842,,
463,0.48022,0.89655,,
464,0.14415,0.97297,,
465,0.429,0.86486,,
466,0.36642,0.84211,,
467,0.46264,0.85,,
468,0.67412,0.86842,,
469,0.49032,0.83784,,
470,0.3982,0.825,,
471,0.33243,0.89744,,
472,0.36593,0.87179,,
473,0.3373,0.87179,,
474,0.63679,0.8,,
475,0.75818,0.75,,
476,0.62358,0.75556,,
477,0.13504,0.94444,,
478,0.39732,0.89474,,
479,0.4117,0.85714,,
480,0.4733,0.87719,,
481,0.40102,0.86486,,
482,0.43108,0.80328,,
483,0.43359,0.875,,
484,0.31562,0.875,,
485,0.47868,0.82051,,
486,0.35011,0.91304,,
487,0.32802,0.90476,,
488,0.2207,0.875,,
489,0.35828,0.89189,,
490,0.40813,0.87179,,
491,0.16182,0.95,,
492,0.25901,0.92105,,
493,0.70614,0.84211,,
494,0.66084,0.76744,,
495,0.20143,0.92105,,
496,0.24014,0.9697,,
497,0.51172,0.82979,,
498,0.29471,0.89091,,
499,0.8762,0.72973,,
500,0.60601,0.77143,,
501,0.4045,0.82927,,
502,0.31081,0.91667,,
503,0.46112,0.88235,,
504,0.53004,0.90476,,
505,0.479,0.87234,,
506,0.5323,0.83673,,
507,0.41361,0.88235,,
508,0.54445,0.87805,,
509,0.82335,0.75,,
510,0.80626,0.73171,,
511,0.54928,0.77778,,
512,0.48658,0.81579,,
513,0.6393,0.775,,
514,0.6199,0.78378,,
515,0.52895,0.83333,,
516,0.67293,0.87179,,
517,0.43242,0.85,,
518,0.27636,0.95122,,
519,0.25311,0.89474,,
520,0.61284,0.78378,,
521,0.49041,0.83721,,
522,0.6285,0.80556,,
523,0.68777,0.84906,,
524,0.40021,0.875,,
525,0.68445,0.80435,,
526,0.48055,0.84783,,
527,0.41821,0.85965,,
528,0.53244,0.82,,
529,0.33545,0.86111,,
530,0.51479,0.80851,,
531,0.50468,0.85185,,
532,0.70743,0.83333,,
533,0.69826,0.79545,,
534,0.23244,0.89744,,
535,0.60673,0.8,,
536,0.66455,0.75,,
537,0.17288,0.92105,,
538,0.54982,0.90476,,
539,0.30875,0.91429,,
540,0.74696,0.77778,,
541,0.41102,0.83333,,
542,0.39126,0.85714,,
543,0.47628,0.83784,,
544,0.33398,0.94444,,
545,0.52515,0.82609,,
546,0.34674,0.8871,,
547,0.34573,0.86,,
548,0.40984,0.8,,
549,0.61938,0.81579,,
550,0.4139,0.84375,,
551,0.44744,0.875,,
552,0.36945,0.90244,,
553,0.3504,0.86486,,
554,0.422,0.89744,,
555,0.31256,0.94872,,
556,0.34572,0.91176,,
557,0.429,0.82927,,
558,0.32916,0.86842,,
559,0.42021,0.86111,,
560,0.42971,0.91667,,
561,0.38823,0.88372,,
562,0.46178,0.84444,,
563,0.51917,0.77273,,
564,0.31761,0.87805,,
565,0.42833,0.86842,,
566,0.68696,0.73684,,
567,0.4384,0.83333,,
568,0.44398,0.84211,,
569,0.26894,0.87179,,
570,0.19741,0.94595,,
571,0.37721,0.89583,,
572,0.32207,0.90164,,
573,0.50515,0.9,,
574,0.42361,0.7551,,
575,0.62534,0.87805,,
576,0.32056,0.89744,,
577,0.24167,0.92308,,
578,0.66689,0.7619,,
579,0.40838,0.84483,,
580,0.50708,0.81818,,
581,0.33233,0.84211,,
582,0.44868,0.84211,,
583,0.5062,0.8,,
584,0.19229,0.92308,,
585,0.3681,0.84615,,
586,0.43706,0.78378,,
587,0.54329,0.85,,
588,0.70716,0.72917,,
589,0.47938,0.83721,,
590,0.53059,0.85,,
591,0.46005,0.81818,,
592,0.70447,0.79487,,
593,0.38367,0.875,,
594,0.29662,0.89474,,
595,0.31694,0.89189,,
596,0.43889,0.87719,,
597,0.52674,0.77778,,
598,0.46916,0.82051,,
599,0.43577,0.84783,,
600,0.24593,0.85714,,
601,0.60332,0.78378,,
602,0.31695,0.86842,,
603,0.2722,0.875,,
604,0.27787,0.88889,,
605,0.67673,0.74359,,
606,0.56159,0.8,,
607,0.3863,0.9,,
608,0.35186,0.87805,,
609,0.42205,0.86111,,
610,0.22228,0.92105,,
611,0.64053,0.82927,,
612,0.38836,0.90476,,
613,0.19365,0.95,,
614,0.70683,0.72549,,
615,0.80018,0.73529,,
616,0.34314,0.91176,,
617,0.49506,0.81081,,
618,0.75527,0.79412,,
619,0.2973,0.91892,,
620,0.23275,0.91892,,
621,0.17473,0.94118,,
622,0.51495,0.86047,,
623,0.28168,0.91667,,
624,0.61552,0.8,,
625,0.19188,0.975,,
626,0.62755,0.8,,
627,0.56341,0.775,,
628,0.42993,0.82927,,
629,0.49089,0.84211,,
630,0.23514,0.91489,,
631,0.44617,0.76596,,
632,0.78087,0.77419,,
633,0.6142,0.82051,,
634,0.61666,0.72222,,
635,0.42527,0.85714,,
636,0.46584,0.86047,,
637,0.50433,0.83333,,
638,0.49286,0.86111,,
639,0.3685,0.86842,,
640,0.57842,0.78947,,
641,0.42781,0.84091,,
642,0.63129,0.83019,,
643,0.34377,0.86111,,
644,0.293,0.86486,,
645,0.51468,0.83607,,
646,0.72549,0.71111,,
647,0.20521,0.94444,,
648,0.44498,0.82609,,
649,0.6296,0.79545,,
650,0.37877,0.85714,,
651,0.19364,0.975,,
652,0.9386,0.79545,,
653,0.23196,0.89474,,
654,0.36637,0.89796,,
655,0.15252,0.97368,,
656,0.33979,0.91667,,
657,0.22025,0.92593,,
658,0.75151,0.81579,,
659,0.48631,0.91667,,
660,0.68482,0.7907,,
661,0.19469,0.94595,,
662,0.34878,0.83333,,
663,0.23043,0.91667,,
664,0.64786,0.74359,,
665,0.78006,0.73913,,
666,0.56403,0.85714,,
667,0.6116,0.77966,,
668,0.46512,0.85714,,
669,0.22034,0.89744,,
670,0.73049,0.84615,,
671,0.40077,0.88372,,
672,0.17276,0.975,,
673,0.39402,0.83333,,
674,0.66909,0.83333,,
675,0.20237,0.91667,,
